area,room,toilet,lat,long,quan,loai_bds,price-VND
120,4,6,16.03346,108.23031,quan-hai-chau,mua-nha-biet-thu-lien-ke/,100000
120,4,5,16.07079,108.22511,quan-hai-chau,mua-nha-mat-tien-pho/,100000
100,4,4,16.09227,108.23095,quan-son-tra,mua-nha-mat-tien-pho/,687000
95,3,4,16.02611,108.24381,quan-ngu-hanh-son,mua-nha-mat-tien-pho/,1000000
800,4,6,16.02983,108.25417,quan-ngu-hanh-son,mua-nha-biet-thu-lien-ke/,1000000
50,3,4,16.08417,108.21861,quan-hai-chau,mua-nha-hem-ngo/,3000000
134,0,0,16.02268,108.24644,quan-ngu-hanh-son,mua-dat-tho-cu/,6000000
77,2,2,16.0598,108.23051,quan-son-tra,mua-can-ho-chung-cu/,12000000
100,0,0,16.0734,108.22889,quan-son-tra,mua-dat-tho-cu/,17000000
1263,0,0,16.03746,108.0676,huyen-hoa-vang,mua-dat-tho-cu/,22000000
52,0,0,16.0854,108.23467,quan-son-tra,mua-dat-tho-cu/,26000000
120,4,6,16.03346,108.23031,quan-hai-chau,mua-nha-mat-tien-pho/,100000000
105,3,2,16.03851,108.24755,quan-ngu-hanh-son,mua-can-ho-chung-cu/,200000000
200,0,0,16.03277,108.22202,quan-hai-chau,mua-mat-bang-cua-hang-shop-cafe-do-uong/,549000000
26,0,0,16.0608,108.20521,quan-thanh-khe,mua-can-ho-chung-cu/,640000000
150,0,0,15.96468,108.21197,huyen-hoa-vang,mua-dat-tho-cu/,680000000
31,0,0,16.06352,108.20856,quan-thanh-khe,mua-can-ho-chung-cu/,850000000
68,2,0,15.99107,108.23758,quan-ngu-hanh-son,mua-can-ho-chung-cu/,900000000
68,2,2,15.98635,108.25687,quan-ngu-hanh-son,mua-can-ho-chung-cu/,900000000
120,4,5,16.03346,108.23031,quan-hai-chau,mua-nha-mat-tien-pho/,1000000000
70,2,2,16.10909,108.13038,quan-lien-chieu,mua-can-ho-chung-cu/,1000000000
74,2,2,16.1061,108.13558,quan-lien-chieu,mua-can-ho-dich-vu/,1000000000
427,4,6,16.02983,108.25417,quan-ngu-hanh-son,mua-nha-biet-thu-lien-ke/,1000000000
1000,0,0,16.02983,108.25417,quan-ngu-hanh-son,mua-dat-tho-cu/,1000000000
68,2,2,15.98635,108.25687,quan-ngu-hanh-son,mua-can-ho-chung-cu/,1200000000
150,0,0,16.09775,108.08974,huyen-hoa-vang,mua-dat-tho-cu/,1200000000
70,2,2,15.99107,108.23758,quan-ngu-hanh-son,mua-can-ho-chung-cu/,1300000000
93,2,2,16.05067,108.15756,quan-lien-chieu,mua-nha-mat-tien-pho/,1350000000
100,1,1,15.99388,108.23889,quan-ngu-hanh-son,mua-nha-hem-ngo/,1450000000
90,2,1,16.01518,108.19293,quan-cam-le,mua-nha-hem-ngo/,1500000000
32,1,1,16.04335,108.22148,quan-hai-chau,mua-nha-hem-ngo/,1520000000
24,1,2,16.07371,108.21071,quan-thanh-khe,mua-nha-hem-ngo/,1650000000
35,3,2,16.06851,108.20916,quan-thanh-khe,mua-nha-hem-ngo/,1700000000
52,1,1,16.0558,108.22367,quan-hai-chau,mua-can-ho-chung-cu/,1700000000
66,2,2,16.05224,108.24686,quan-ngu-hanh-son,mua-can-ho-chung-cu/,1750000000
25,2,2,16.07243,108.20271,quan-thanh-khe,mua-nha-hem-ngo/,1780000000
30,2,2,16.06851,108.20916,quan-thanh-khe,mua-nha-hem-ngo/,1790000000
100,0,0,16.05192,108.16724,quan-lien-chieu,mua-dat-nen-du-an/,1800000000
22,2,2,16.06756,108.20497,quan-thanh-khe,mua-nha-hem-ngo/,1800000000
72,2,3,15.98635,108.25687,quan-ngu-hanh-son,mua-can-ho-chung-cu/,1800000000
42,3,2,16.02531,108.21319,quan-cam-le,mua-nha-mat-tien-pho/,1800000000
310,0,0,16.07686,108.23455,quan-son-tra,mua-dat-tho-cu/,1850000000
65,2,1,16.05222,108.17557,quan-cam-le,mua-nha-hem-ngo/,1850000000
